project,run_id,run_name,created_at,sample_id,metric,value
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,0,precision,0.39337336001778966
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,0,recall,0.9567333693888588
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,0,f1,0.557516545855657
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,1,precision,0.9583333333333334
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,1,recall,0.9583333333333334
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,1,f1,0.9583333333333334
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,2,precision,0.3956100051046452
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,2,recall,0.6413793103448275
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,2,f1,0.48937065880867187
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,3,precision,0.9871794871794872
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,3,recall,0.27898550724637683
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,3,f1,0.4350282485875706
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,4,precision,0.4
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,4,recall,1.0
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,4,f1,0.5714285714285715
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,0,precision,0.31018285522563327
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,0,recall,1.0
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,0,f1,0.47349551856594113
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,1,precision,0.9583333333333334
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,1,recall,0.9583333333333334
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,1,f1,0.9583333333333334
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,2,precision,1.0
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,2,recall,0.00027586206896551725
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,2,f1,0.0005515719801434088
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,3,precision,0.34673366834170855
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,3,recall,1.0
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,3,f1,0.5149253731343283
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,4,precision,0.0
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,4,recall,0.0
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,4,f1,0.0
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,0,precision,0.4719022687609075
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,0,recall,0.7312060573282856
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,0,f1,0.5736105218498092
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,1,precision,0.9583333333333334
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,1,recall,0.9583333333333334
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,1,f1,0.9583333333333334
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,2,precision,0.0
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,2,recall,0.0
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,2,f1,0.0
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,3,precision,1.0
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,3,recall,0.2391304347826087
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,3,f1,0.3859649122807018
