model,method,context,tier,jobs,successful_jobs,failed_jobs,question_trajectories,repetitions,f1_mean,f1_std,calls_mean,calls_std,cost_usd_mean,cost_usd_std,total_tokens_mean,total_tokens_std,latency_seconds_mean,latency_seconds_std,tool_time_seconds_mean,tool_time_seconds_std,process_wall_time_seconds_mean,process_wall_time_seconds_std,peak_combined_memory_mib_mean,peak_combined_memory_mib_std
gemini-3.7-flash,llm,100,1,5,5,0,50,5,1.0,0.0,1.0,0.0,0.0089182635,0.001768093011950729,12242.28,147.10059687166498,3.0492562234029172,0.26224782320301115,0.0,0.0,3.330395953916013,0.25526341122104695,384.38046875,1.160440569117232
gemini-3.7-flash,llm,500,1,5,5,0,50,5,1.0,0.0,1.0,0.0,0.019596477,0.01255787110919546,55671.159999999996,149.87667730504282,1.8859089608490467,0.2869432894638347,0.0,0.0,2.184861172363162,0.2810675917221621,388.115625,0.7883722228229189
gemini-3.7-flash,codeact,100,1,5,5,0,50,5,1.0,0.0,7.3,0.30331501776206204,0.012164980500000002,0.0016318173212552017,16817.1,1683.9819523973522,27.271004990339282,0.9593583814831848,0.007240003012120725,0.0012987833099573217,27.569824555106457,0.9717282222963984,802.76796875,1.4114456968222777
gemini-3.7-flash,codeact,500,1,5,5,0,50,5,1.0,0.0,5.640000000000001,0.6711184694225008,0.03160753349999999,0.005298565376109272,89610.16,3533.3256219035347,24.83547393485904,2.6613170750380437,0.04519009433686733,0.008458726823404367,25.129000028297305,2.659159008603517,806.19375,0.778979513229488
gemini-3.7-flash,codeact,1000,1,5,5,0,50,5,1.0,0.0,5.34,1.0365326815879952,0.080118498,0.018972130781201038,195008.58000000002,25841.660234156785,28.210675879659828,6.927567330484626,0.10402769990032538,0.020624872808156343,28.487100515080385,6.935207974038023,765.05546875,1.3828288311182535
gemini-3.7-flash,rlm,100,1,5,5,0,50,5,1.0,0.0,3.02,0.20396078054371142,0.010541115,0.00082424378350704,11999.86,996.3361814166942,12.471793218571692,2.4964801369509275,0.020930081140249968,0.001404557537785392,16.179346478795633,1.8885649769578863,343.75,0.6924934072903691
gemini-3.7-flash,rlm,500,1,5,5,0,50,5,1.0,0.0,2.96,0.2727636339397172,0.010550325000000001,0.0009076219851898696,11897.98,1225.103493424127,12.041589671811089,1.6228765947237267,0.11743226635269821,0.012840052158124476,15.056447562826799,1.9020615029802568,339.7796875,5.6103414687953155
gemini-3.7-flash,rlm,1000,1,5,4,1,50,1,0.78,0.0,3.6,0.0,0.01327171875,0.0,15282.525,0.0,11.044604670442641,0.0,0.21185976997949182,0.0,13.10675125415437,0.0,394.705078125,0.0
gemini-3.7-flash,rlm,full,1,5,5,0,50,5,1.0,0.0,3.1,0.3162277660168379,0.010765649999999998,0.001523783955158998,12401.240000000002,1837.8475166346093,20.349119138782847,4.403453383275317,8.808971088128164,3.858820903005204,24.275109937088565,4.228421274911697,468.2953125,5.130804639625251
gemini-3.7-flash,llm,100,2,20,20,0,100,5,0.9600428415066418,0.02229592378820576,1.0,0.0,0.03657889725,0.001563222998916102,19794.879999999997,322.8298043861508,17.040151456501334,1.3823248036588978,0.0,0.0,17.95495485495776,1.401266552135096,385.021484375,0.21466789678059253
