model,method,context,tier,jobs,successful_jobs,failed_jobs,question_trajectories,scoreable_trajectories,repetitions,score_coverage,f1_mean,f1_std,calls_mean,calls_std,cost_usd_mean,cost_usd_std,total_tokens_mean,total_tokens_std,latency_seconds_mean,latency_seconds_std,tool_time_seconds_mean,tool_time_seconds_std,process_wall_time_seconds_mean,process_wall_time_seconds_std,peak_combined_memory_mib_mean,peak_combined_memory_mib_std
deepseek-v4-flash,llm,100,1,5,5,0,50,50,5,1.0,0.9199999999999999,0.02666666666666657,1.0,0.0,0.0,0.0,9809.42,0.11661903789664396,15.969880525097253,0.5015161071930312,0.0,0.0,16.247947947978975,0.505724238044395,326.859375,0.91618010583516
deepseek-v4-flash,llm,500,1,5,5,0,50,50,5,1.0,0.5350658682634731,0.024000000000000066,1.0,0.0,0.0,0.0,48782.56,0.12000000000116415,16.889738922566174,2.63157189102113,0.0,0.0,17.169287741854788,2.6372704714777115,333.3265625,0.868553962818733
deepseek-v4-flash,codeact,100,1,5,5,0,50,50,5,1.0,1.0,0.0,2.9,0.2449489742783177,0.0,0.0,43860.3,7200.903271673632,26.37681980729103,4.3498518473489165,0.0035574714094400404,0.0031156314864943337,26.671531119942664,4.363082984129467,754.03046875,0.9894598333023681
deepseek-v4-flash,codeact,500,1,5,5,0,50,50,5,1.0,1.0,0.0,2.7800000000000002,0.2227105745132009,0.0,0.0,138152.58000000002,11493.674627968207,18.866517820358276,11.031578168336148,0.001972449943423271,0.0003453223074748485,19.149699962958692,11.042278233634859,754.95234375,0.8511266086230943
deepseek-v4-flash,codeact,1000,1,5,5,0,50,50,1,1.0,1.0,0.0,2.84,0.0,0.0072378608979999995,0.0,278255.4,0.0,12.744304172378033,0.0,0.0027672799862921236,0.0,14.24118279254064,0.0,756.315625,0.0
deepseek-v4-flash,rlm,100,1,5,5,0,50,50,5,1.0,0.9533333333333334,0.045215533220835116,5.0200000000000005,0.49959983987187195,0.0,0.0,37310.759999999995,9061.751600568181,55.65634889267385,4.007957907868434,0.0013769204169511795,0.00027919184654028316,55.93656616032124,4.007965703707382,394.27265625,1.7834149398432912
deepseek-v4-flash,rlm,500,1,5,5,0,50,50,5,1.0,0.9133333333333333,0.06863753427324668,7.659999999999999,1.5907231060118538,0.0,0.0,57780.58,22679.658503548948,84.38414677403867,12.179918918950474,0.28886341862380505,0.5726081438010684,84.69751314334572,12.147278151345443,396.41953125,1.4229747635620158
deepseek-v4-flash,rlm,1000,1,5,5,0,50,50,5,1.0,0.76,0.048989794855663606,10.68,2.18577217477028,0.0048617976256,0.0011453065170373344,58584.920000000006,12504.825005636825,117.97321060188115,14.169990295064247,7.560604951754212,15.09349089172617,118.73094481844456,14.144756238361184,402.58984375,7.194316146407046
deepseek-v4-flash,rlm,full,1,5,5,0,50,50,5,1.0,0.8400000000000001,0.10198039027185571,7.720000000000001,2.0488045294756647,0.0,0.0,66980.38,29950.56524591147,85.72646418191492,25.655946024140523,0.4170074062049389,0.5481442303676556,86.01499647140503,25.682577438234084,1039.390625,853.8261958271507
deepseek-v4-flash,llm,100,2,20,20,0,100,100,5,1.0,0.05953736005518556,0.011573548645013745,1.0,0.0,0.0,0.0,11337.0,529.4643689616897,21.078891081698238,6.2216549734461735,0.0,0.0,21.894948668293654,6.22196840579727,329.432421875,0.9491484992008132
deepseek-v4-flash,llm,500,2,20,20,0,100,100,5,1.0,0.05667092632764933,0.009873111395278812,1.0,0.0,0.0,0.0,50967.85,399.5175640694649,25.114205974265936,3.8501375076544413,0.0,0.0,25.91789203386754,3.868401545523718,335.152734375,1.0822722965938882
deepseek-v4-flash,codeact,100,2,20,20,0,100,100,5,1.0,0.913624060150376,0.041417295792353634,3.72,0.10295630140986996,0.00013504629995999998,0.00027009259991999995,57338.05,5939.374687035666,43.91746928745881,12.417682529258332,0.047442025039345026,0.022233424623898265,44.81962357375771,12.50905552272019,762.977734375,2.1323294761248732
deepseek-v4-flash,codeact,500,2,20,20,0,100,100,5,1.0,0.8618714751296578,0.07882526389497443,3.6700000000000004,0.3931920650267501,0.0,0.0,218040.38999999998,25546.253928362956,57.0256256358698,10.436369851642496,0.16867612410336735,0.06165342767749449,57.89165844351053,10.483506563270977,765.7244140625,2.0252889544756556
