capability_group,across_model_mean_f1,minimum_model_f1,maximum_model_f1,n_models,included_models
bond_changes,0.8520448105932367,0.6110611555873348,1.0,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5
stereochemistry,0.38953490108249345,0.18666666666666668,0.5,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5
mechanisms,0.11022925241186461,0.040956032805613225,0.21565222126732614,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5
mechanical_graph,0.8062181610404897,0.3947340956206936,1.0,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5
chemically_constrained_graph,0.29960925578050895,0.14646295017630107,0.5531011663097842,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5
route_and_multi_constraint,0.07624952264099717,0.019863868474148907,0.24981811874703744,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5
