model,method,context,tier,jobs,successful_jobs,failed_jobs,question_trajectories,repetitions,f1_mean,f1_std,calls_mean,calls_std,cost_usd_mean,cost_usd_std,total_tokens_mean,total_tokens_std,latency_seconds_mean,latency_seconds_std,tool_time_seconds_mean,tool_time_seconds_std,process_wall_time_seconds_mean,process_wall_time_seconds_std,peak_combined_memory_mib_mean,peak_combined_memory_mib_std
qwen3.5,llm,100,1,5,5,0,50,5,0.9866666666666667,0.016329931618554464,1.0,0.0,0.0,0.0,10578.32,0.3429285639900014,4.121056330092252,0.12251217829493798,0.0,0.0,4.422874210849405,0.1701344881442805,384.4765625,4.655098300309766
qwen3.5,llm,500,1,5,5,0,50,5,0.968095238095238,0.017142857142857158,1.0,0.0,0.0,0.0,52441.119999999995,0.4874423042793637,17.08568895548582,0.014103466299439638,0.0,0.0,17.366685228794815,0.015552561698126946,385.9078125,0.5039431914753636
qwen3.5,codeact,100,1,5,5,0,50,5,1.0,0.0,2.62,0.07483314773547889,0.0,0.0,29784.079999999998,926.1904024551328,12.490466451756657,1.1511963311177231,0.0027995726838707926,0.0007101269849888576,12.769313414320349,1.146525602376756,799.46875,0.7866570699505122
qwen3.5,codeact,500,1,5,5,0,50,5,1.0,0.0,2.66,0.07999999999999992,0.0,0.0,141749.4,4323.647408843607,31.991029159426688,8.104521638812873,0.0027303553372621534,0.00010400973952883495,32.27738832902163,8.102770202593968,801.86015625,1.1325980400444369
qwen3.5,codeact,1000,1,5,5,0,50,5,1.0,0.0,2.64,0.08000000000000007,0.0,0.0,278185.3,8505.555606778446,51.45888214245904,1.22839698099171,0.004471836916636675,0.002726708229978939,51.74925091994228,1.2100823250283999,763.0765625,0.3366235726854256
qwen3.5,rlm,100,1,5,5,0,50,5,1.0,0.0,5.96,0.10198039027185561,0.0,0.0,48837.92,3178.138716544639,29.257469046339395,0.6989743503104039,0.9901483626291157,0.39755622417678976,29.565840673483912,0.6913722564096056,449.58984375,0.5598189142900363
qwen3.5,rlm,500,1,5,5,0,50,5,1.0,0.0,6.1,0.2449489742783178,0.0,0.0,41236.9,5419.325408572547,30.193472277224068,1.6978347079755691,2.3819116191565994,1.360929088385429,30.509882237613205,1.7111767248388432,450.33984375,0.6383964668042306
qwen3.5,rlm,full,1,5,5,0,50,5,1.0,0.0,5.779999999999999,0.24819347291981728,0.0,0.0,36004.5,5035.864317473219,30.34834722867061,3.830568443246619,1.3701190429070267,2.630108441489829,30.645977798373206,3.826578500427236,612.421875,34.34555468273651
qwen3.5,llm,100,2,20,20,0,100,5,0.008924931166412785,0.004689260065143802,1.0,0.0,0.0,0.0,11940.02,462.2874945312713,19.198946801032868,5.466570282473178,0.0,0.0,20.095826420579108,5.4764399576118254,383.7091796875,0.4599787267658673
qwen3.5,llm,500,2,20,20,0,100,5,0.011618933978292894,0.007271411696772396,1.0,0.0,0.0,0.0,53211.35,74.26101265132449,8.915071253553034,6.146270650440951,0.0,0.0,9.814068287629635,6.1450860735567785,385.359765625,0.8471506268487986
qwen3.5,codeact,100,2,20,20,0,100,5,0.99,0.020000000000000018,3.47,0.17776388834631177,0.0,0.0,44341.15,2481.3323898663793,29.315880273468792,2.258275716101619,0.04264064855873585,0.002244539482229983,30.237883248422293,2.2666869936713097,812.5681640625,0.17205180004700346
qwen3.5,codeact,500,2,20,20,0,100,5,0.9745000000000001,0.021222040429704207,3.31,0.058309518948452994,0.0,0.0,182579.5,2918.62290010203,44.54416280597449,10.863169806458142,0.143585114069283,0.004996765875555245,45.477825505658984,10.867754076057876,815.1943359375,0.37769569427726596
qwen3.5,codeact,1000,2,20,20,0,100,5,0.9989285714285714,0.0008748177652797034,3.22,0.05099019513592779,0.0,0.0,345403.57,5523.447586118653,66.31108811118932,2.5851508672490815,0.25028659381088797,0.012353989824630571,67.17938515958026,2.5902632030567125,773.6056640625,0.5075650689264737
qwen3.5,rlm,100,2,20,20,0,100,5,0.99,0.020000000000000018,5.709999999999999,0.1881488772222678,0.0,0.0,49857.2,4277.518119540817,37.723540646824986,1.4685274399398056,0.03195950843393802,0.0017374052188171103,38.69947664339095,1.46648101431075,457.094921875,0.5176866041979603
qwen3.5,rlm,500,2,20,20,0,100,5,0.9800000000000001,0.024494897427831803,5.43,0.2111871208194289,0.0,0.0,36807.64,3073.492520472434,35.77670487744734,1.954274983291745,0.10450560493394731,0.00646460242286991,36.75866788178682,1.9384751465064638,457.56875,0.6935410743436597
