level,project,metric,value_count,mean,std,median,min,max
overall,all,all,360.0,0.6039721330087334,0.42431584072899364,0.8382865370770338,0.0,1.0
metric,all,precision,120.0,0.5801742692008732,0.4336665361633874,0.7563550997956938,0.0,1.0
metric,all,recall,120.0,0.6725825745582276,0.415402661326339,0.9537858926342073,0.0,1.0
metric,all,f1,120.0,0.5591595552670995,0.4149986317090919,0.6684918248445901,0.0,1.0
project_metric,RLMs-Task10,precision,20.0,0.379252364517211,0.4310465286874427,0.206927575348628,0.0,1.0
project_metric,RLMs-Task10,recall,20.0,0.76,0.34263683398023626,1.0,0.0,1.0
project_metric,RLMs-Task10,f1,20.0,0.41567487081682625,0.434883340392809,0.3061868686868687,0.0,1.0
project_metric,RLMs-Task6,precision,25.0,0.5188842543830922,0.46083344364568113,0.5222140531456779,0.0,1.0
project_metric,RLMs-Task6,recall,25.0,0.5845442229504886,0.45802526032504626,0.9078947368421052,0.0,1.0
project_metric,RLMs-Task6,f1,25.0,0.5110488225239843,0.4409094969275642,0.6860296654018627,0.0,0.9906355847778444
project_metric,RLMs-Task7,precision,30.0,0.6876655354926048,0.42415483671244725,1.0,0.0,1.0
project_metric,RLMs-Task7,recall,30.0,0.7142660306726637,0.4005164473042256,0.9609154929577465,0.0,1.0
project_metric,RLMs-Task7,f1,30.0,0.6761143506314549,0.39889143939081406,0.9526232741617358,0.0,1.0
project_metric,RLMs-Task8,precision,20.0,0.6197764729112961,0.3672047407853723,0.6864857133400476,0.0,1.0
project_metric,RLMs-Task8,recall,20.0,0.7543614938957884,0.3847755590240554,0.9661016949152543,0.0,1.0
project_metric,RLMs-Task8,f1,20.0,0.6433070086422306,0.3572330114862105,0.8084634797244686,0.0,1.0
project_metric,RLMs-Task9,precision,25.0,0.6415305252471679,0.4037508284442579,0.9423177766124804,0.0,1.0
project_metric,RLMs-Task9,recall,25.0,0.5752437030051767,0.4276279335240256,0.7312060573282856,0.0,1.0
project_metric,RLMs-Task9,f1,25.0,0.5143943184331017,0.3808902144544959,0.5149253731343283,0.0,0.9842801985659128
