study,model_label,arm,condition,context,tier,mean_f1,sd_f1,mean_precision,sd_precision,mean_recall,sd_recall,replications,scored_question_trajectories,total_question_trajectories,score_coverage
matched_cardinality,Qwen 3.5,matched,scale-xfull-k1,full,1,1.0,0.0,1.0,0.0,1.0,0.0,5,50,50,1.0
matched_cardinality,Qwen 3.5,matched,scale-xfull-k1,full,2,0.9019791522291521,0.05584526462379468,0.8927314471243042,0.05727348406723921,0.99,0.022360679774997918,5,100,100,1.0
matched_cardinality,Qwen 3.5,matched,scale-xfull-k1,full,3,0.18679343509947668,0.03212139082190622,0.19978965703728285,0.020884214780295538,0.4317922077922078,0.13190280767260215,5,175,175,1.0
oracle_predicate,Claude Haiku 4.5,ordinary,ordinary,100,,0.376841869323487,0.04122668831231042,,,,,5,80,80,1.0
oracle_predicate,Claude Haiku 4.5,predicate,predicate,100,,0.39583333333333337,0.08068715304598785,,,,,5,80,80,1.0
oracle_predicate,Claude Haiku 4.5,ordinary,ordinary,500,,0.3996453082348891,0.04085299739105896,,,,,5,80,80,1.0
oracle_predicate,Claude Haiku 4.5,predicate,predicate,500,,0.425,0.12022115038544591,,,,,5,80,80,1.0
oracle_predicate,Claude Haiku 4.5,ordinary,ordinary,full,,0.29827255339807124,0.05035603677070802,,,,,5,80,80,1.0
oracle_predicate,Claude Haiku 4.5,predicate,predicate,full,,0.5506964318810371,0.0844978059706601,,,,,5,80,80,1.0
oracle_predicate,Qwen 3.5,ordinary,ordinary,100,,0.8022930541680541,0.06828638505612472,,,,,5,80,80,1.0
oracle_predicate,Qwen 3.5,predicate,predicate,100,,0.6791666666666667,0.12893123705638168,,,,,5,80,80,1.0
oracle_predicate,Qwen 3.5,ordinary,ordinary,500,,0.7708796305340626,0.053441131759595806,,,,,5,80,80,1.0
oracle_predicate,Qwen 3.5,predicate,predicate,500,,0.73,0.13422229695546117,,,,,5,80,80,1.0
oracle_predicate,Qwen 3.5,ordinary,ordinary,full,,0.5480838108068187,0.0796496394610496,,,,,5,80,80,1.0
oracle_predicate,Qwen 3.5,predicate,predicate,full,,0.7212841363346386,0.08263807147566118,,,,,5,80,80,1.0
