model,method,context,tier,jobs,successful_jobs,failed_jobs,question_trajectories,repetitions,f1_mean,f1_std,calls_mean,calls_std,cost_usd_mean,cost_usd_std,total_tokens_mean,total_tokens_std,latency_seconds_mean,latency_seconds_std,tool_time_seconds_mean,tool_time_seconds_std,process_wall_time_seconds_mean,process_wall_time_seconds_std,peak_combined_memory_mib_mean,peak_combined_memory_mib_std
gpt-5-mini,llm,100,1,5,5,0,50,5,0.9666666666666668,0.0,1.0,0.0,0.0025324368,0.000946695163745205,10989.619999999999,149.56969479142492,4.268291998542845,1.8514307838030177,0.0,0.0,5.649637116156518,2.7354704420756653,317.03828125,6.266855396648306
gpt-5-mini,llm,500,1,5,5,0,50,5,0.6826666666666668,0.06255308856394613,1.0,0.0,0.0087921234,0.004019809619994738,52168.36,185.05746783094054,5.455951821655035,0.5039316717690304,0.0,0.0,6.220783418640495,0.4144799984714637,314.2671875,7.343192133066178
gpt-5-mini,codeact,100,1,5,5,0,50,5,0.9893333333333333,0.021333333333333336,1.98,0.09797958971132713,0.0035803656000000005,0.0013510818434274957,22041.04,1041.1994460236713,16.395419145338238,2.244401282723108,0.0012069791927933693,0.00012215690315564215,16.936737816892567,2.381585939995821,681.60390625,3.300152584363051
gpt-5-mini,codeact,500,1,5,5,0,50,5,1.0,0.0,2.06,0.048989794855663606,0.011903275600000002,0.005699139474995453,106607.68000000001,2547.6436370889855,13.100487666651606,0.5464552863351874,0.0015848787501454354,0.0001977174875542184,13.492795418053865,0.5578102792912933,685.14453125,2.6195546664253113
gpt-5-mini,codeact,1000,1,5,5,0,50,1,0.9633333333333333,0.0,2.18,0.0,0.019945325,0.0,222682.14,0.0,8.491246307566762,0.0,0.002508607469499111,0.0,9.303414517901837,0.0,743.8484375,0.0
gpt-5-mini,rlm,100,1,5,5,0,50,5,1.0,0.0,2.7199999999999998,0.23151673805580456,0.003486372,0.00017623140399826624,11666.8,2180.3437903229847,33.04717005655169,3.796052061390524,0.0005680311471223832,1.727045431405073e-05,34.50662327673287,4.089083684970397,373.2875,2.7683774262587013
gpt-5-mini,rlm,500,1,5,5,0,50,5,1.0,0.0,2.66,0.2870540018881465,0.0035859176,0.0002468023462170486,10687.460000000001,1195.8069268907923,31.77190032105893,5.349771092480348,0.0011224747076630593,6.937717363362057e-05,32.47597415551543,5.329568569434123,364.04140625,0.7055842409618783
gpt-5-mini,rlm,1000,1,5,5,0,50,1,0.9933333333333333,0.0,2.4,0.0,0.0018975549999999996,0.0,8549.7,0.0,10.913061376027763,0.0,0.0013048047386109828,0.0,13.0986377450265,0.0,426.90390625,0.0
gpt-5-mini,rlm,full,1,5,5,0,50,5,1.0,0.0,2.52,0.2481934729198171,0.0037707005999999994,0.00036738667290450245,10135.78,1408.3593964610027,37.94453352164477,2.780664980616374,0.13957955099642277,0.03334037206360164,38.50002001207322,2.7505525552761734,501.07578125,2.4919188236834935
gpt-5-mini,llm,100,2,20,20,0,100,5,0.031978153568710845,0.03189340039181726,1.0,0.0,0.0053377176,0.0013319789275849073,12555.960000000001,313.49957799014624,12.32661098273471,1.2310322250536172,0.0,0.0,13.395974223259836,1.1793454941456982,318.729296875,2.3780722092171582
gpt-5-mini,llm,500,2,20,20,0,100,5,0.0012155388471177943,0.001844958831857618,1.0,0.0,0.0069056026000000005,0.004231108212926614,52158.57,226.62293484993776,6.426183738503605,1.6548572669603903,0.0,0.0,7.50168773431331,1.5874822661083676,321.120703125,2.3198176391225624
gpt-5-mini,codeact,100,2,20,20,0,100,5,0.99,0.020000000000000018,2.0300000000000002,0.05099019513592786,0.004562328900000001,0.0013283540865522794,23663.05,581.2677601587762,17.05220547059551,2.2157569046192753,0.041533390339463946,0.010558885598907978,18.129238482564688,2.2799749017382807,685.2451171875,2.0852861737693633
gpt-5-mini,codeact,500,2,20,20,0,100,5,0.99,0.020000000000000018,2.02,0.05099019513592787,0.0138906479,0.004844260885580972,106462.1,2663.289111418432,16.092510876562446,1.9061061129640677,0.12584971303120257,0.008585756201011503,17.459511706326158,1.626951698956178,686.646875,1.2249220219919867
gpt-5-mini,codeact,1000,2,20,20,0,100,1,0.9995652173913043,0.0,2.02,0.0,0.0286116405,0.0,209831.73,0.0,23.466323992339895,0.0,0.3017241628561169,0.0,25.276453446066007,0.0,754.815234375,0.0
gpt-5-mini,rlm,100,2,20,20,0,100,5,1.0,0.0,2.67,0.2039607805437113,0.0031309989,0.00019944983924470816,13085.5,1866.0062708897851,16.189333998188378,1.6752819113997734,0.11609035450965166,0.10391531619979347,17.287488440684974,1.7467462323446221,371.3837890625,1.8805343331223063
gpt-5-mini,rlm,500,2,20,20,0,100,5,0.993921568627451,0.012156862745098085,2.77,0.11661903789690611,0.0030161338999999997,0.00015309374019155717,11810.18,636.7669201521071,16.001247666757557,0.540583474144295,0.11395011030137539,0.012685896252261367,17.178445125501604,0.7146731481641827,371.301171875,0.7560078887527864
gpt-5-mini,rlm,1000,2,20,20,0,100,1,0.99,0.0,2.66,0.0,0.0031299814999999997,0.0,11415.16,0.0,15.08895424474962,0.0,0.3012538699992001,0.0,23.446678299233316,0.0,426.9185546875,0.0
gpt-5-mini,rlm,full,2,20,20,0,100,5,1.0,0.0,2.81,0.12409673645990847,0.0055114735,0.00030455950629064296,20977.29,1936.7169773614323,46.07924229359254,0.9479838601164855,26.446522761825474,1.3206090782657842,47.208270519394425,1.0236148533767804,668.0349609375,17.009403986908776
gpt-5-mini,llm,100,3,80,80,0,175,5,0.6973055777456226,0.0274030709046133,1.0,0.0,0.013422840971428571,0.0011170714567739122,16453.897142857146,360.8374231010469,39.60603397336389,7.726469078561237,0.0,0.0,42.1873740484459,7.733849851862696,310.363330078125,1.6472004042358606
gpt-5-mini,llm,500,3,80,80,0,175,5,0.3139413038705904,0.013776582439373984,1.0,0.0,0.016052581428571428,0.003264026121054023,55607.35428571429,241.20494975799085,30.206970755457878,4.495714977533351,0.0,0.0,32.88836646651583,4.427598563732848,308.753759765625,2.4202582720794554
gpt-5-mini,codeact,100,3,80,80,0,175,5,0.7792543452755287,0.026075791315460013,2.2285714285714286,0.08081220356417683,0.0086375996,0.0009635038040589174,28947.977142857144,1118.1641904040928,23.50543851269143,1.325079193968579,0.03978793075042112,0.007195431661074681,25.86464078068733,1.3030558591658523,572.036572265625,0.5656841731864523
gpt-5-mini,codeact,500,3,80,80,0,175,5,0.7019607398153872,0.057730418244223,2.1885714285714286,0.049815987926179146,0.01730297022857143,0.005952584681461158,117291.97142857143,2729.695804656479,26.513599387556315,2.752247864445831,0.17330885838185037,0.023363697652987365,28.84094433129898,2.739056787500629,573.209375,0.6488075138242559
gpt-5-mini,codeact,1000,3,80,48,32,175,1,0.2611056381745757,0.0,2.0714285714285716,0.0,0.023103815178571428,0.0,216789.35714285713,0.0,68.15578768226884,0.0,0.32987377149402164,0.0,76.51441061179503,0.0,559.5243326822916,0.0
