project,task_family,task_number,model_name,context_size,run_id,run_name,created_at,sample_id,metric,value,sample_cost_usd
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,8,accuracy,1.0,0.03066175
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,9,accuracy,1.0,0.0313475
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,0,accuracy,1.0,0.02898775
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,1,accuracy,1.0,0.03212725
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,10,accuracy,0.0,0.0529276
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,11,accuracy,1.0,0.030104
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,12,accuracy,1.0,0.029764250000000003
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,13,accuracy,0.0,0.0309355
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,14,accuracy,0.0,0.0366835
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,15,accuracy,0.0,0.0336585
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,16,accuracy,0.0,0.03366425000000001
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,17,accuracy,1.0,0.031228
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,18,accuracy,1.0,0.043415
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,19,accuracy,1.0,0.028238
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,2,accuracy,1.0,0.06388049999999999
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,3,accuracy,1.0,0.02999425
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,4,accuracy,0.0,0.0050490000000000005
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,5,accuracy,1.0,0.0314775
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,6,accuracy,1.0,0.03131275
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,7,accuracy,1.0,0.03073425
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,8,accuracy,1.0,0.030486
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,9,accuracy,1.0,0.03031175
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,0,accuracy,0.0,0.00424425
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,1,accuracy,0.0,0.008210750000000001
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,10,accuracy,0.0,0.0050862
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,11,accuracy,0.0,0.00485995
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,12,accuracy,0.0,0.00194935
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,13,accuracy,1.0,0.0055205
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,14,accuracy,0.0,0.00457765
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,15,accuracy,0.0,0.0054322
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,16,accuracy,0.0,0.0043391
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,17,accuracy,0.0,0.0045138999999999995
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,18,accuracy,0.0,0.00450875
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,19,accuracy,0.0,0.0047336
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,2,accuracy,0.0,0.00493935
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,3,accuracy,0.0,0.00448065
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,4,accuracy,0.0,0.0079855
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,5,accuracy,0.0,0.00483445
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,osf793bi,true-vortex-39,2026-03-19T17:38:43Z,6,accuracy,0.0,0.004576749999999999
