model_label,condition,runs,trajectories,mean_macro_f1,sd_macro_f1,mean_precision,mean_recall,mean_exact_match_accuracy
Qwen,name_only,5,15,0.0,0.0,0.0,0.0,0.0
Qwen,structure_only,5,15,0.0,0.0,0.0,0.0,0.0
Qwen,structure_plus_class,5,15,0.37777777777777777,0.16850834320114555,0.39999999999999997,0.36666666666666664,0.3333333333333333
Claude,name_only,5,15,0.05228758169934641,0.11691858705881254,0.06666666666666667,0.043010752688172046,0.0
Claude,structure_only,5,15,0.0,0.0,0.0,0.0,0.0
Claude,structure_plus_class,5,15,0.13333333333333333,0.18257418583505536,0.13333333333333333,0.13333333333333333,0.13333333333333333
