method,context,tier,n_models,target_n_models,included_models,missing_models,is_final,mean_tokens_per_trajectory,sem_tokens_per_trajectory,minimum_tokens_per_trajectory_coverage,mean_wall_time_seconds_per_trajectory,sem_wall_time_seconds_per_trajectory,minimum_wall_time_seconds_per_trajectory_coverage,mean_cost_chf_per_trajectory,sem_cost_chf_per_trajectory,minimum_cost_chf_per_trajectory_coverage,n_paid_models,target_n_paid_models,included_paid_models,missing_paid_models,paid_cost_is_final
llm,100,3,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,12958.709523809523,1153.7928309906995,1.0,16.60693854464129,5.46750165701346,1.0,0.014517379497142859,0.0034442609395509724,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
llm,500,3,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,56230.880952380954,2481.756434130168,1.0,22.968843867761038,3.4671236728943615,1.0,0.03329998213333333,0.013140473703056446,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,100,3,5,6,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,glm-5.2,False,75283.05520826162,27051.89304497882,1.0,84.83483510820406,38.71510165967257,1.0,0.02356241132190476,0.010500710409660122,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,500,3,5,6,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,glm-5.2,False,256462.47214906832,62493.49279614267,1.0,108.94425347760614,48.94247652212415,1.0,0.053228224022857144,0.021600319568734982,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,1000,3,4,4,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini,,True,495084.7839939638,135564.82383107042,1.0,176.32567744420135,80.96620808517963,1.0,0.05456854647142854,0.03608549432857139,1.0,2,2,gemini-3.7-flash;gpt-5-mini,,True
rlm,100,3,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,107959.40714285713,66721.39861185697,1.0,85.14182018210974,42.96187357342481,1.0,0.035879814811428566,0.0201213066506515,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
rlm,500,3,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,130280.94571428571,68701.98348514063,1.0,94.92705378389348,46.564366171134964,1.0,0.053758363657142844,0.03349313988709288,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
rlm,1000,3,2,3,deepseek-v4-flash;gemini-3.7-flash,gpt-5-mini,False,250394.2988268685,163042.23260170294,1.0,616.6365915012977,572.6994210547601,1.0,0.045628399470198686,,1.0,1,2,gemini-3.7-flash,gpt-5-mini,False
rlm,full,3,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,243064.13,62542.097633565776,1.0,157.00460314232038,45.90659329384914,1.0,0.08999863988571428,0.02628457185072794,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
llm,100,4,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,12729.875238095237,725.1108450203164,1.0,15.770730390307449,3.050861691260834,1.0,0.01190417258666667,0.002791430518426999,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
llm,500,4,6,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True,55520.960952380956,2372.5736891297684,1.0,19.000808734271143,4.739320826479273,1.0,0.029972805363809526,0.01387519052058216,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,100,4,5,6,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,glm-5.2,False,94887.28173584906,37142.561995392876,1.0,86.0693020829676,36.60857767946276,1.0,0.03321624745904763,0.019985018287753387,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,500,4,5,6,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,glm-5.2,False,282410.92620583717,65222.68856314126,1.0,93.05364000267124,33.01272115362499,1.0,0.06049387001904763,0.02836169430266086,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
codeact,1000,4,4,4,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini,,True,511978.3181737127,156248.0792340883,1.0,153.840496651661,73.02778135823011,1.0,0.04728761998156682,0.029309470304147458,1.0,2,2,gemini-3.7-flash;gpt-5-mini,,True
rlm,100,4,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,171096.0014285714,92640.73602461327,1.0,106.24039809488663,44.40860837543199,1.0,0.07011274486857144,0.05366049644875139,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
rlm,500,4,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,189572.06142857144,99461.97487639228,1.0,118.5349944193308,47.84830868844419,1.0,0.08629796572190475,0.06789940724747992,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
rlm,1000,4,2,3,deepseek-v4-flash;gemini-3.7-flash,gpt-5-mini,False,477103.438136646,396313.84186335397,1.0,288.36322917363907,243.6969663043237,1.0,0.03402783428571428,,1.0,1,2,gemini-3.7-flash,gpt-5-mini,False
rlm,full,4,4,6,qwen3.5;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,deepseek-v4-flash;glm-5.2,False,305947.0493566204,86471.7440504197,1.0,580.1610584230776,136.0280741086341,1.0,0.1342879943146141,0.07417698687787101,1.0,3,3,gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,,True
