scope,run_id,model,model_label,method,tier,task,context,repetition,question_count,status,report_state,result_updated_at,attempt_count,sources,failure_categories,score_name,score_available,f1,calls,cost_chf,cost_usd,input_tokens,output_tokens,total_tokens,latency_seconds,tool_time_seconds,peak_combined_memory_mib,peak_docker_memory_mib,peak_host_process_tree_rss_mib,process_wall_time_seconds,ground_truth_version,original_f1,score_correction_status,arm_final
full_benchmark,full-glm-5.2-tier1-task1-llm-x500-r04,glm-5.2,GLM 5.2,llm,1,tier1/task1,500,4,10,succeeded,final,2026-09-13T13:55:03.442994+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.7833333333333334,10,0.0,0,511323,45,511368,40.12034451216459,0,327.015625,0.0,327.015625,42.4813157171011,rxnhaystack-human-1.6.0,0.7833333333333334,not_affected,True
full_benchmark,full-glm-5.2-tier1-task1-llm-x500-r05,glm-5.2,GLM 5.2,llm,1,tier1/task1,500,5,10,succeeded,final,2026-09-13T13:55:46.333201+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.7733333333333334,10,0.0,0,511323,48,511371,40.16660790517926,0,328.44921875,0.0,328.44921875,42.797116968780756,rxnhaystack-human-1.6.0,0.7733333333333334,not_affected,True
full_benchmark,full-glm-5.2-tier1-task1-rlm-x100-r01,glm-5.2,GLM 5.2,rlm,1,tier1/task1,100,1,10,succeeded,final,2026-09-16T14:10:56.865085+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.9,84,0.0,0.0,1425150,22996,1448146,1315.5433681681752,39.388624399900436,356.734375,0.0,356.734375,1357.1216548010707,rxnhaystack-human-1.6.0,0.9,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-x100-r02,glm-5.2,GLM 5.2,rlm,1,tier1/task1,100,2,10,succeeded,final,2026-09-19T10:24:27.261664+00:00,2,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,"{""unknown"": 1}",macro_f1,True,0.8,48,0.0,0.0,331147,13556,344703,666.7881818395108,12.72614967636764,393.203125,0.0,393.203125,729.4312421325594,rxnhaystack-human-1.6.0,0.8,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-x100-r03,glm-5.2,GLM 5.2,rlm,1,tier1/task1,100,3,10,succeeded,final,2026-09-16T14:31:06.236839+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.8,64,0.0,0.0,523333,14679,538012,875.222238432616,63.979746263474226,371.53125,0.0,371.53125,913.679229689762,rxnhaystack-human-1.6.0,0.8,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-x100-r04,glm-5.2,GLM 5.2,rlm,1,tier1/task1,100,4,10,succeeded,final,2026-09-16T15:06:35.948663+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.5666666666666667,190,0.0,0.0,1179915,17847,1197762,2091.7816145718098,311.5541111174971,352.48828125,0.0,352.48828125,2129.540744619444,rxnhaystack-human-1.6.0,0.5666666666666667,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-x100-r05,glm-5.2,GLM 5.2,rlm,1,tier1/task1,100,5,10,succeeded,final,2026-09-16T15:28:11.741416+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,1.0,69,0.0,0.0,625757,18004,643761,1255.989767253399,54.95989053323865,477.09375,0.0,477.09375,1295.4989851620048,rxnhaystack-human-1.6.0,1.0,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-x500-r01,glm-5.2,GLM 5.2,rlm,1,tier1/task1,500,1,10,succeeded,final,2026-09-19T10:52:19.553398+00:00,2,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,"{""unknown"": 1}",macro_f1,True,0.9,106,0.0,0.0,1054004,30265,1084269,1637.6401036344469,74.28975600004196,390.3671875,0.0,390.3671875,1671.7629026956856,rxnhaystack-human-1.6.0,0.9,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-x500-r02,glm-5.2,GLM 5.2,rlm,1,tier1/task1,500,2,10,succeeded,final,2026-09-19T20:17:15.512531+00:00,3,jed-full-v34-d50654b8;jed-glm-rlm-v34;jed25-glm-openrouter-rlm-s1;kuma-full-v34-d50654b8,"{""unknown"": 2}",macro_f1,True,0.9,110,2.111430713296,2.63928839162,11694585,105873,11800458,1300.8219766751863,503.9471527475398,408.3671875,0.0,408.3671875,1307.5043722118717,rxnhaystack-human-1.6.0,0.9,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-x500-r03,glm-5.2,GLM 5.2,rlm,1,tier1/task1,500,3,10,succeeded,final,2026-09-19T11:08:51.747977+00:00,2,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,"{""unknown"": 1}",macro_f1,True,0.9,62,0.0,0.0,461816,16209,478025,885.523425616324,19.5858198069036,382.29296875,0.0,382.29296875,944.0098504479975,rxnhaystack-human-1.6.0,0.9,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-x500-r04,glm-5.2,GLM 5.2,rlm,1,tier1/task1,500,4,10,succeeded,final,2026-09-16T16:07:40.731291+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.8,76,0.0,0.0,645998,22927,668925,1578.5623104851693,1.9045985601842403,356.5234375,0.0,356.5234375,1604.2875137832016,rxnhaystack-human-1.6.0,0.8,not_affected,False
