scope,run_id,model,model_label,method,tier,task,context,repetition,question_count,status,report_state,result_updated_at,attempt_count,sources,failure_categories,score_name,score_available,f1,calls,cost_chf,cost_usd,input_tokens,output_tokens,total_tokens,latency_seconds,tool_time_seconds,peak_combined_memory_mib,peak_docker_memory_mib,peak_host_process_tree_rss_mib,process_wall_time_seconds,ground_truth_version,original_f1,score_correction_status,arm_final
codeact_x1000,full-qwen3.5-397b-tier2-task3-codeact-x1000-r03,qwen3.5,Qwen 3.5,codeact,2,tier2/task3,1000,3,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,20,0.0,0.0,2153522,15232,2168754,392.6761518199928,1.1524379588663578,776.734375,0.0,776.734375,397.37033840699587,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task3-codeact-x1000-r04,qwen3.5,Qwen 3.5,codeact,2,tier2/task3,1000,4,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,15,0.0,0.0,1598410,10024,1608434,326.71600157098146,0.9304137418512255,775.484375,0.0,775.484375,330.9773468429921,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task3-codeact-x1000-r05,qwen3.5,Qwen 3.5,codeact,2,tier2/task3,1000,5,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,0.9928571428571429,15,0.0,0.0,1600053,10888,1610941,369.7851595499669,0.976881392125506,774.94921875,0.0,774.94921875,374.27159898297396,rxnhaystack-human-1.6.0,0.9928571428571429,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task4-codeact-x1000-r01,qwen3.5,Qwen 3.5,codeact,2,tier2/task4,1000,1,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,15,0.0,0.0,1603459,6966,1610425,315.7069107849966,1.7593755770358257,765.0703125,0.0,765.0703125,320.194730083982,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task4-codeact-x1000-r02,qwen3.5,Qwen 3.5,codeact,2,tier2/task4,1000,2,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,15,0.0,0.0,1603846,7229,1611075,361.6409686920233,1.4013377449009567,767.77734375,0.0,767.77734375,365.8508283679839,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task4-codeact-x1000-r03,qwen3.5,Qwen 3.5,codeact,2,tier2/task4,1000,3,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,15,0.0,0.0,1603671,7188,1610859,312.78531748999376,1.7487162119941786,765.4921875,0.0,765.4921875,317.22570551000535,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task4-codeact-x1000-r04,qwen3.5,Qwen 3.5,codeact,2,tier2/task4,1000,4,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,15,0.0,0.0,1603401,7075,1610476,285.90129005903145,1.8008131711394526,765.78125,0.0,765.78125,290.0964948410401,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task4-codeact-x1000-r05,qwen3.5,Qwen 3.5,codeact,2,tier2/task4,1000,5,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,15,0.0,0.0,1603683,7083,1610766,324.23406411899487,1.7584776089643128,765.2734375,0.0,765.2734375,328.92084396397695,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task5-codeact-x1000-r01,qwen3.5,Qwen 3.5,codeact,2,tier2/task5,1000,1,4,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,14,0.0,0.0,1504390,8699,1513089,316.30922539002495,1.0946518629789352,773.09765625,0.0,773.09765625,320.8304390810081,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task5-codeact-x1000-r02,qwen3.5,Qwen 3.5,codeact,2,tier2/task5,1000,2,4,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,13,0.0,0.0,1393223,8454,1401677,322.15451958897756,0.9370609890902415,774.1796875,0.0,774.1796875,326.6461909330101,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task5-codeact-x1000-r03,qwen3.5,Qwen 3.5,codeact,2,tier2/task5,1000,3,4,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,12,0.0,0.0,1285125,7475,1292600,272.1426219409914,0.928780711023137,775.04296875,0.0,775.04296875,276.35781997599406,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task5-codeact-x1000-r04,qwen3.5,Qwen 3.5,codeact,2,tier2/task5,1000,4,4,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,16,0.0,0.0,1725286,10594,1735880,287.30424572201446,1.3301666240440682,775.48828125,0.0,775.48828125,291.53866438602563,rxnhaystack-human-1.6.0,1.0,not_affected,True
