context_size,metric,task_count_all_models,overall_avg_all_models
0,f1,10,0.5144754983745727
0,precision,10,0.5663903251935721
0,recall,10,0.5967438546871466
100,f1,10,0.45806128455111433
100,precision,10,0.5955048943682717
100,recall,10,0.4317894805194805
500,f1,10,0.06398736689172266
500,precision,10,0.2617021064128892
500,recall,10,0.047516395790616936
